time_s,x_m,v_m_s,theta_rad,omega_rad_s,force_N,push_N
8.999999999999999667e-02,1.112465605268809707e-02,1.908082283438021776e-01,3.399524070171507095e-02,-3.011429856131507266e-01,5.271298156913877264e-01,0.000000000000000000e+00
9.249999999999999889e-02,1.160335837709303500e-02,1.921305993261887557e-01,3.324109018568655038e-02,-3.021375619814119506e-01,4.815287976117330615e-01,0.000000000000000000e+00
9.500000000000000111e-02,1.208519592180002690e-02,1.933172061644818640e-01,3.248474811169416165e-02,-3.028978498546320286e-01,4.374536073651036361e-01,0.000000000000000000e+00
9.750000000000000333e-02,1.256983523364010348e-02,1.943727930047822738e-01,3.172678818772130954e-02,-3.034334121318515431e-01,3.948641186687380511e-01,0.000000000000000000e+00
1.000000000000000056e-01,1.305695455899653391e-02,1.953019758333781331e-01,3.096776056933303253e-02,-3.037535290170561564e-01,3.537210944497815035e-01,0.000000000000000000e+00
1.025000000000000078e-01,1.354624352706045379e-02,1.961092453912359479e-01,3.020819255771552136e-02,-3.038672049522050389e-01,3.139861704104145446e-01,0.000000000000000000e+00
1.049999999999999961e-01,1.403740284030099462e-02,1.967989700313242107e-01,2.944858928057231609e-02,-3.037831753995414719e-01,2.756218388891031879e-01,0.000000000000000000e+00
1.074999999999999983e-01,1.453014397200856969e-02,1.973753985200209227e-01,2.868943435624910637e-02,-3.035099134770011808e-01,2.385914330043155118e-01,0.000000000000000000e+00
1.100000000000000006e-01,1.502418887077302916e-02,1.978426627837931162e-01,2.793119054144984487e-02,-3.030556364503490530e-01,2.028591110683137799e-01,0.000000000000000000e+00
1.125000000000000028e-01,1.551926967176129116e-02,1.982047806022798897e-01,2.717430036289799483e-02,-3.024283120855036366e-01,1.683898412596951388e-01,0.000000000000000000e+00
1.150000000000000050e-01,1.601512841466180836e-02,1.984656582488559806e-01,2.641918673328827460e-02,-3.016356648643473415e-01,1.351493865444179932e-01,0.000000000000000000e+00
1.175000000000000072e-01,1.651151676816586464e-02,1.986290930797043330e-01,2.566625355186622284e-02,-3.006851820671683218e-01,1.031042898360183813e-01,0.000000000000000000e+00
1.199999999999999956e-01,1.700819576085823778e-02,1.986987760723802066e-01,2.491588628996523058e-02,-2.995841197247410270e-01,7.222185938660796722e-02,0.000000000000000000e+00
1.224999999999999978e-01,1.750493551839209933e-02,1.986782943148077407e-01,2.416845256182331356e-02,-2.983395084429203425e-01,4.247015440108192763e-02,0.000000000000000000e+00
1.250000000000000000e-01,1.800151500682539360e-02,1.985711334456110311e-01,2.342430268099487609e-02,-2.969581591025030054e-01,1.381797086771641148e-02,0.000000000000000000e+00
1.275000000000000022e-01,1.849772178199813460e-02,1.983806800466473008e-01,2.268377020266598015e-02,-2.954466684369964624e-01,-1.376517240094088379e-02,0.000000000000000000e+00
1.300000000000000044e-01,1.899335174483213901e-02,1.981102239885766392e-01,2.194717245217514545e-02,-2.938114244908311967e-01,-4.030904752237596256e-02,0.000000000000000000e+00
1.325000000000000067e-01,1.948820890243684392e-02,1.977629607302741344e-01,2.121481104003552706e-02,-2.920586119604545172e-01,-6.584273109849059225e-02,0.000000000000000000e+00
1.350000000000000089e-01,1.998210513490675244e-02,1.973419935728626950e-01,2.048697236374829450e-02,-2.901942174206546543e-01,-9.039461757441458190e-02,0.000000000000000000e+00
1.375000000000000111e-01,2.047485996769803432e-02,1.968503358691210681e-01,1.976392809669129391e-02,-2.882240344383803499e-01,-1.139924324056371674e-01,0.000000000000000000e+00
1.400000000000000133e-01,2.096630034947363080e-02,1.962909131889986059e-01,1.904593566436151367e-02,-2.861536685762443577e-01,-1.366632450369036356e-01,0.000000000000000000e+00
1.425000000000000155e-01,2.145626043530802357e-02,1.956665654419488254e-01,1.833323870824446131e-02,-2.839885422878288268e-01,-1.584334816959396264e-01,0.000000000000000000e+00
1.449999999999999900e-01,2.194458137514457632e-02,1.949800489567749262e-01,1.762606753757838679e-02,-2.817338997068441486e-01,-1.793289380047196069e-01,0.000000000000000000e+00
1.474999999999999922e-01,2.243111110740009587e-02,1.942340385196641706e-01,1.692463956927621124e-02,-2.793948113321333970e-01,-1.993747914107033559e-01,0.000000000000000000e+00
1.499999999999999944e-01,2.291570415761290738e-02,1.934311293710727075e-01,1.622915975626312152e-02,-2.769761786104575907e-01,-2.185956134401689788e-01,0.000000000000000000e+00
1.524999999999999967e-01,2.339822144203237628e-02,1.925738391621087953e-01,1.553982100448299437e-02,-2.744827384189466590e-01,-2.370153817755720205e-01,0.000000000000000000e+00
1.549999999999999989e-01,2.387853007604941527e-02,1.916646098710500790e-01,1.485680457882219800e-02,-2.719190674490524762e-01,-2.546574921586222118e-01,0.000000000000000000e+00
1.575000000000000011e-01,2.435650318736912526e-02,1.907058096806192038e-01,1.418028049819477186e-02,-2.692895864937964734e-01,-2.715447701206072928e-01,0.000000000000000000e+00
1.600000000000000033e-01,2.483201973382819991e-02,1.896997348166317710e-01,1.351040792002852764e-02,-2.665985646400645948e-01,-2.876994825413583534e-01,0.000000000000000000e+00
1.625000000000000056e-01,2.530496432576129218e-02,1.886486113486214866e-01,1.284733551438731712e-02,-2.638501233676630586e-01,-3.031433490380983642e-01,0.000000000000000000e+00
1.650000000000000078e-01,2.577522705282205354e-02,1.875545969530386659e-01,1.219120182796046281e-02,-2.610482405568147479e-01,-3.178975531853285297e-01,0.000000000000000000e+00
