time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
1.875000000000000000e-01,1.520068981607900068e-03,5.182376037025047261e-02,2.644043312260702105e-02,-4.838634685087686571e-02,1.924574149878261267e-02,-3.731215305253863385e-02,1.540562406738435475e-02,-3.832747251677943306e-02,7.088800683203979602e-01,0.000000000000000000e+00
1.900000000000000022e-01,1.652128898974003848e-03,5.381969330935656992e-02,2.631178731126742470e-02,-5.450768720745242935e-02,1.914929678015458298e-02,-3.984166991350628073e-02,1.530844393806129675e-02,-3.941670258607814920e-02,7.001084316132151208e-01,0.000000000000000000e+00
1.925000000000000044e-01,1.789144296435102701e-03,5.578785467509295160e-02,2.616801027972278509e-02,-6.049036800988333296e-02,1.904654432091196573e-02,-4.235779093181358396e-02,1.520854061348523092e-02,-4.050586237026068681e-02,6.907418676365986165e-01,0.000000000000000000e+00
1.950000000000000067e-01,1.931043623494795199e-03,5.772656760375667606e-02,2.600945558380609798e-02,-6.632896375671543110e-02,1.893752171854675911e-02,-4.485725068471162202e-02,1.510591551380438199e-02,-4.159395773426426829e-02,6.808203729167257023e-01,0.000000000000000000e+00
1.975000000000000089e-01,2.077751288919691200e-03,5.963427577111828082e-02,2.583648960327513538e-02,-7.201863657645612982e-02,1.882227457655930719e-02,-4.733691010899425400e-02,1.500057253321338338e-02,-4.268000384607366360e-02,6.703828280425483399e-01,0.000000000000000000e+00
2.000000000000000111e-01,2.229187957568660311e-03,6.150953976573357573e-02,2.564949010443655711e-02,-7.755511089541268499e-02,1.870085618636203179e-02,-4.979375817822787043e-02,1.489251801470444642e-02,-4.376302675596828451e-02,6.594669724851485171e-01,0.000000000000000000e+00
2.025000000000000133e-01,2.385270838078844702e-03,6.335103340374599601e-02,2.544884486586753911e-02,-8.293464830320929071e-02,1.857332720558256198e-02,-5.222491311105965928e-02,1.478176072097352536e-02,-4.484206489322851985e-02,6.481093847812582354e-01,0.000000000000000000e+00
2.049999999999999878e-01,2.545913961281958890e-03,6.515754000083281983e-02,2.523495036665814734e-02,-8.815402268098683491e-02,1.843975533390092639e-02,-5.462762314059371044e-02,1.466831180168807862e-02,-4.591617048015048108e-02,6.363454677296962458e-01,0.000000000000000000e+00
2.074999999999999900e-01,2.711028449262186356e-03,6.692794861588025057e-02,2.500821053644281325e-02,-9.321049565130676284e-02,1.830021498748143211e-02,-5.699926687407937814e-02,1.455218475732301432e-02,-4.698441086354352564e-02,6.242094382654679308e-01,0.000000000000000000e+00
2.099999999999999922e-01,2.880522775002155277e-03,6.866125027995230445e-02,2.476903556634870926e-02,-9.810179240316942162e-02,1.815478697298770691e-02,-5.933735327134723181e-02,1.443339539977056898e-02,-4.804586976418107752e-02,6.117343216898900593e-01,0.000000000000000000e+00
