time,x,v,theta1,omega1,theta2,omega2,theta3,omega3,force,push
7.249999999999999500e-02,4.867111713654488181e-04,-1.278109712786441171e-02,1.647241865676930817e-02,1.251013273304963369e-01,1.823908938901063620e-02,2.779821868650200062e-02,1.742811321817955283e-02,-1.766340378730788191e-03,-2.313535726033477125e-01,0.000000000000000000e+00
7.499999999999999722e-02,4.537954078640566032e-04,-1.352637241495866817e-02,1.679337946073820864e-02,1.315366094229490079e-01,1.830966709568491654e-02,2.864740576558799309e-02,1.742339017236878285e-02,-2.015788056502001990e-03,-1.824797118537827001e-01,0.000000000000000000e+00
7.749999999999999944e-02,4.192053700434359657e-04,-1.412046174892536352e-02,1.712944874897822864e-02,1.371888014318596583e-01,1.838224131120382368e-02,2.939452530057656832e-02,1.741801548111383130e-02,-2.287787169957358844e-03,-1.334620771968669795e-01,0.000000000000000000e+00
8.000000000000000167e-02,3.833190250331619791e-04,-1.456351695919260586e-02,1.747867607333836865e-02,1.420645166095057532e-01,1.845655041231523269e-02,3.003453239694806390e-02,1.741193181162980011e-02,-2.583091162204225778e-03,-8.459914886533864697e-02,0.000000000000000000e+00
8.250000000000000389e-02,3.465128560455925312e-04,-1.485655507217667828e-02,1.783913317317784714e-02,1.461747842264533304e-01,1.853232104721304341e-02,3.056308637388744157e-02,1.740508002319772832e-02,-2.902392447456822195e-03,-3.615436578554170888e-02,0.000000000000000000e+00
8.500000000000000611e-02,3.091598323201867702e-04,-1.500135355490064479e-02,1.820892423594704101e-02,1.495344362154440720e-01,1.860926987400257637e-02,3.097653253549762647e-02,1.739739932322148866e-02,-3.246319698065081548e-03,1.164084532806619610e-02,0.000000000000000000e+00
8.749999999999999445e-02,2.716276293237538959e-04,-1.500035474613658180e-02,1.858619469884255013e-02,1.521615525593254248e-01,1.868710524956371591e-02,3.127188082046437889e-02,1.738882742951262939e-02,-3.615435572490769377e-03,5.858426863113486149e-02,0.000000000000000000e+00
8.999999999999999667e-02,2.342770771190632716e-04,-1.485657877868863316e-02,1.896913873235478790e-02,1.540769606526131985e-01,1.876552886174674348e-02,3.144678190926451095e-02,1.737930073772114489e-02,-4.010234867751634111e-03,1.045003093806118333e-01,0.000000000000000000e+00
9.249999999999999889e-02,1.974608164927246377e-04,-1.457354434563118591e-02,1.935600553505747307e-02,1.553037842261519030e-01,1.884423729919692397e-02,3.149950129992105941e-02,1.736875449287269765e-02,-4.431143078842293172e-03,1.492376010370817796e-01,0.000000000000000000e+00
9.500000000000000111e-02,1.615221439943419928e-04,-1.415519670813458752e-02,1.974510455837793013e-02,1.558670377520156303e-01,1.892292355430324688e-02,3.142889180178887187e-02,1.735712296401749691e-02,-4.878515346900706012e-03,1.926667958094037680e-01,0.000000000000000000e+00
9.750000000000000333e-02,1.267940284928189231e-04,-1.360584238356539986e-02,2.013480977025992186e-02,1.557932625453254671e-01,1.900127845582001360e-02,3.123436484150019649e-02,1.734433962104233590e-02,-5.352635777365952544e-03,2.346785263007002964e-01,0.000000000000000000e+00
1.000000000000000056e-01,9.359828321105830452e-05,-1.293008999038745832e-02,2.052356305752088897e-02,1.551102010547195931e-01,1.907899202863206148e-02,3.091586092558293655e-02,1.733033731274461267e-02,-5.853717109022283857e-03,2.751815268400232828e-01,0.000000000000000000e+00
1.024999999999999939e-01,6.224487846458038437e-05,-1.213279676149022629e-02,2.090987685825635226e-02,1.538465060870416456e-01,1.915575477893926085e-02,3.047381955994019759e-02,1.731504844531526338e-02,-6.381900714610519443e-03,3.141009038714975832e-01,0.000000000000000000e+00
1.049999999999999961e-01,3.303138150911749953e-05,-1.121902027032885968e-02,2.129233610780585650e-02,1.520314819471801637e-01,1.923125890383610426e-02,2.990914888690166668e-02,1.729840516042591494e-02,-6.937256913583713172e-03,3.513765454458368520e-01,0.000000000000000000e+00
1.074999999999999983e-01,6.242511002461403246e-06,-1.019397494500438005e-02,2.166959957452439453e-02,1.496948546932445334e-01,1.930519942486922866e-02,2.922319526548543614e-02,1.728033951216424724e-02,-7.519785577568860978e-03,3.869616604411705296e-01,0.000000000000000000e+00
